node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
9606.ENSP00000225655,8.0,0.2842,4.0,6.0,96.559,15.0,0.08333,56.28377,11.78099,4724.80367,16076.0,0.2,
9606.ENSP00000254190,750.0,0.58315,8.0,8.0,83.718,6.0,0.08333,47.96631,10.68182,1019.83333,7496.0,0.71429,
9606.ENSP00000355930,804.0,0.63848,10.0,10.0,134.944,7.0,0.08333,64.37987,12.20661,496.52914,4970.0,0.71111,
9606.ENSP00000291582,9.0,0.37893,4.0,5.0,114.822,4.0,0.09091,49.23034,10.96281,785.68694,3888.0,0.4,
9606.ENSP00000483356,722.0,0.71324,6.0,8.0,67.056,11.0,0.08333,48.63312,10.63223,2551.89778,5226.0,0.53571,
9606.ENSP00000452871,2.0,0.0,1.0,2.0,66.59,6.0,0.09091,49.19585,11.15289,1986.38573,5146.0,0.0,
9606.ENSP00000215855,2.0,0.30779,2.0,2.0,22.245,1.0,0.0625,33.54178,8.78512,0.0,0.0,1.0,
9606.ENSP00000344125,240.0,0.66569,6.0,6.0,120.296,1.0,0.08333,51.03939,11.21901,16.43343,282.0,0.93333,
9606.ENSP00000344488,3.0,0.30779,2.0,3.0,72.98,1.0,0.08333,43.31641,10.28926,47.51212,130.0,0.33333,
9606.ENSP00000365049,3.0,0.0,1.0,3.0,70.12,12.0,0.1,47.81667,11.12397,2041.10124,11512.0,0.0,
9606.ENSP00000230792,25.0,0.56839,4.0,5.0,91.592,6.0,0.09091,49.64448,11.34711,929.96591,2556.0,0.6,
9606.ENSP00000347088,240.0,0.66569,6.0,6.0,118.564,1.0,0.08333,51.03939,11.21901,16.43343,282.0,0.93333,
9606.ENSP00000380307,3.0,0.30779,2.0,3.0,75.844,1.0,0.09091,48.06631,10.97107,380.63341,2464.0,0.33333,
9606.ENSP00000274695,28.0,0.45378,5.0,7.0,113.624,21.0,0.1,57.66508,11.84711,4733.25961,24588.0,0.38095,
9606.ENSP00000278379,12.0,0.30898,3.0,8.0,129.385,29.0,0.09091,66.1794,12.34711,6834.17945,41608.0,0.17857,
9606.ENSP00000419975,2.0,0.0,1.0,2.0,41.913,2.0,0.08333,37.96591,9.83058,67.35714,190.0,0.0,
9606.ENSP00000325074,10.0,0.46346,3.0,7.0,54.107,17.0,0.08333,49.30538,10.71901,5380.60422,16960.0,0.19048,
9606.ENSP00000204961,4.0,0.30779,2.0,4.0,96.487,3.0,0.1,52.32421,11.65702,2051.06252,9986.0,0.16667,
9606.ENSP00000314299,2.0,0.0,1.0,2.0,38.437,2.0,0.07692,38.95564,9.52893,320.15424,700.0,0.0,
9606.ENSP00000351342,24.0,0.56839,4.0,4.0,59.575,1.0,0.08333,41.79744,10.09917,0.0,0.0,1.0,
9606.ENSP00000312554,19.0,0.45378,5.0,6.0,56.137,4.0,0.09091,43.47594,10.17355,636.7614,1492.0,0.46667,
9606.ENSP00000352676,2.0,0.30779,2.0,2.0,12.052,1.0,0.0625,27.65446,6.83884,0.0,0.0,1.0,
9606.ENSP00000385451,2.0,0.0,1.0,2.0,39.506,2.0,0.07143,43.62254,10.2686,1384.91536,7772.0,0.0,
9606.ENSP00000322229,2.0,0.30779,2.0,2.0,86.748,1.0,0.07692,49.28172,11.17769,0.0,0.0,1.0,
9606.ENSP00000001146,244.0,0.46652,8.0,8.0,128.74,6.0,0.07692,60.3841,11.90083,1048.53544,5996.0,0.57143,
9606.ENSP00000283296,2.0,0.30779,2.0,2.0,56.274,1.0,0.09091,44.56555,10.76446,0.0,0.0,1.0,
9606.ENSP00000367102,433.0,0.67062,8.0,9.0,134.533,4.0,0.09091,60.97662,12.08678,2580.35059,18142.0,0.63889,
9606.ENSP00000289957,3628800.0,0.89787,10.0,10.0,128.824,1.0,0.1,56.18056,11.6157,0.0,0.0,1.0,
9606.ENSP00000316909,3.0,0.0,1.0,3.0,91.373,6.0,0.1,55.08492,11.93388,1143.40404,6328.0,0.0,
9606.ENSP00000436047,3.0,0.30779,2.0,3.0,68.647,3.0,0.08333,47.83853,11.03719,1312.50457,3268.0,0.33333,
9606.ENSP00000296218,7.0,0.46346,3.0,4.0,54.22,1.0,0.09091,42.8426,10.18595,598.01976,1664.0,0.5,
9606.ENSP00000293502,120.0,0.64826,5.0,5.0,123.197,1.0,0.07692,51.47458,11.35124,0.0,0.0,1.0,
9606.ENSP00000333926,720.0,0.69977,8.0,8.0,134.014,1.0,0.08333,59.89138,11.95868,53.68447,868.0,0.85714,
9606.ENSP00000299608,24.0,0.56839,4.0,4.0,53.325,1.0,0.07143,43.95231,10.28099,0.0,0.0,1.0,
9606.ENSP00000417569,5.0,0.30898,3.0,4.0,73.41,3.0,0.09091,46.9167,10.85537,349.74654,2452.0,0.33333,
9606.ENSP00000312304,4.0,0.30898,3.0,3.0,115.352,1.0,0.09091,61.81075,12.24793,444.67654,3156.0,0.66667,
9606.ENSP00000349270,48.0,0.58344,5.0,5.0,69.143,1.0,0.09091,46.57392,10.69835,169.74941,1040.0,0.9,
9606.ENSP00000362207,720.0,0.71324,6.0,6.0,81.49,1.0,0.07692,40.49409,9.70661,0.0,0.0,1.0,
9606.ENSP00000393832,2.0,0.30779,2.0,2.0,48.65,1.0,0.09091,42.76631,10.67355,0.0,0.0,1.0,
9606.ENSP00000350386,52.0,0.47549,6.0,8.0,72.074,15.0,0.07692,49.8538,10.7562,3049.26003,8824.0,0.39286,
9606.ENSP00000353414,6.0,0.30779,2.0,6.0,90.877,11.0,0.1,56.45198,11.76446,3512.52198,17296.0,0.06667,
9606.ENSP00000348752,4.0,0.30898,3.0,3.0,60.853,1.0,0.08333,40.50188,10.0,1.0,2.0,0.66667,
9606.ENSP00000498610,365.0,0.47733,9.0,10.0,134.409,8.0,0.09091,65.86512,12.26446,3330.48996,22942.0,0.44444,
9606.ENSP00000329219,2.0,0.30779,2.0,2.0,66.851,1.0,0.07692,44.54712,10.78926,0.0,0.0,1.0,
9606.ENSP00000276410,3628800.0,0.89787,10.0,10.0,128.863,1.0,0.1,56.18056,11.6157,0.0,0.0,1.0,
9606.ENSP00000382021,6.0,0.46346,3.0,3.0,39.135,1.0,0.07692,40.34035,9.75207,0.0,0.0,1.0,
9606.ENSP00000315602,3628806.0,0.7975,11.0,11.0,129.005,4.0,0.1,61.72817,12.05372,870.47116,8070.0,0.85455,
9606.ENSP00000376287,3.0,0.30779,2.0,3.0,37.116,3.0,0.06667,39.32689,9.77686,960.0,4428.0,0.33333,
9606.ENSP00000276414,3.0,0.30779,2.0,3.0,77.781,4.0,0.07143,46.52976,10.7562,1434.0,6636.0,0.33333,
9606.ENSP00000006275,49.0,0.58344,5.0,6.0,67.748,3.0,0.07692,44.27761,10.22314,497.47403,1982.0,0.6,
9606.ENSP00000386869,2.0,0.30779,2.0,2.0,41.279,1.0,0.07692,38.62267,9.88017,0.0,0.0,1.0,
9606.ENSP00000360811,7.0,0.30898,3.0,6.0,107.106,23.0,0.09091,57.91046,11.89256,4632.24543,22372.0,0.2,
9606.ENSP00000339017,2.0,0.0,1.0,2.0,43.297,2.0,0.09091,39.64203,10.13636,100.80893,904.0,0.0,
9606.ENSP00000448012,20.0,0.47366,4.0,8.0,74.547,7.0,0.07692,49.76942,10.67355,1850.34748,5060.0,0.32143,
9606.ENSP00000483364,12.0,0.47366,4.0,4.0,64.262,2.0,0.07692,42.8525,10.08678,51.1621,322.0,0.83333,
9606.ENSP00000389111,2.0,0.0,1.0,2.0,57.283,2.0,0.08333,44.50768,10.65289,960.06315,2618.0,0.0,
9606.ENSP00000347427,7.0,0.46346,3.0,4.0,40.266,6.0,0.07692,41.42369,9.77273,2370.0,8448.0,0.5,
9606.ENSP00000322249,6.0,0.2842,4.0,4.0,69.681,2.0,0.09091,46.9167,10.85537,477.45882,2448.0,0.5,
9606.ENSP00000328598,3.0,0.30779,2.0,3.0,31.835,1.0,0.07143,39.55723,9.47934,1009.66826,6308.0,0.33333,
9606.ENSP00000494147,720.0,0.71324,6.0,6.0,81.727,1.0,0.07692,40.49409,9.70661,0.0,0.0,1.0,
9606.ENSP00000295108,5.0,0.30898,3.0,4.0,97.182,2.0,0.09091,54.64022,11.71901,1764.78415,6006.0,0.33333,
9606.ENSP00000333947,744.0,0.65858,7.0,7.0,81.81,1.0,0.07692,40.99409,9.71074,1.5,6.0,0.85714,
9606.ENSP00000278840,5.0,0.30898,3.0,4.0,110.039,1.0,0.07692,54.8845,11.49587,298.06476,2304.0,0.33333,
9606.ENSP00000494708,49.0,0.58344,5.0,6.0,73.298,14.0,0.09091,54.35242,11.38843,3525.50591,15470.0,0.6,
9606.ENSP00000330696,2.0,0.30779,2.0,2.0,49.959,1.0,0.07692,43.45326,10.4876,0.0,0.0,1.0,
9606.ENSP00000429200,25.0,0.56839,4.0,5.0,66.184,6.0,0.1,47.48373,10.94215,1841.49939,6744.0,0.6,
9606.ENSP00000314544,2.0,0.30779,2.0,2.0,50.397,1.0,0.07143,39.54078,9.76446,0.0,0.0,1.0,
9606.ENSP00000351379,6.0,0.2842,4.0,4.0,85.362,1.0,0.08333,50.60519,11.34298,229.6305,2120.0,0.5,
9606.ENSP00000371362,24.0,0.56839,4.0,4.0,85.921,1.0,0.08333,46.11638,10.92975,0.0,0.0,1.0,
9606.ENSP00000424798,24.0,0.56839,4.0,4.0,23.695,1.0,0.06667,31.96963,7.72727,0.0,0.0,1.0,
9606.ENSP00000498757,3628806.0,0.7975,11.0,11.0,128.884,5.0,0.1,57.06389,11.63636,304.23369,2294.0,0.85455,
9606.ENSP00000368637,36.0,0.47549,6.0,6.0,131.274,1.0,0.1,58.84762,12.04132,152.33908,1404.0,0.66667,
9606.ENSP00000357360,24.0,0.56839,4.0,4.0,23.947,1.0,0.06667,31.96963,7.72727,0.0,0.0,1.0,
9606.ENSP00000270172,3.0,0.30779,2.0,3.0,62.791,3.0,0.08333,43.18589,10.44215,486.14162,2232.0,0.33333,
9606.ENSP00000283928,25.0,0.56839,4.0,5.0,100.385,3.0,0.09091,52.07799,11.40083,1320.63537,4300.0,0.6,
9606.ENSP00000356156,3.0,0.30779,2.0,3.0,74.186,12.0,0.09091,49.94051,11.43802,2755.44012,7048.0,0.33333,
9606.ENSP00000358696,8.0,0.46346,3.0,5.0,118.126,3.0,0.11111,54.90079,11.91736,3013.71651,17758.0,0.4,
9606.ENSP00000357920,3.0,0.0,1.0,3.0,91.76,8.0,0.1,53.45516,11.78512,2042.97115,5312.0,0.0,
9606.ENSP00000356951,721.0,0.71324,6.0,7.0,65.824,10.0,0.09091,47.4184,10.72727,2140.42929,5158.0,0.71429,
9606.ENSP00000482732,24.0,0.56839,4.0,4.0,60.559,1.0,0.08333,41.79744,10.09917,0.0,0.0,1.0,
9606.ENSP00000276055,744.0,0.65858,7.0,7.0,82.484,1.0,0.07692,40.99409,9.71074,1.5,6.0,0.85714,
9606.ENSP00000356959,12.0,0.47366,4.0,4.0,125.033,1.0,0.08333,57.73939,11.88017,6.74385,80.0,0.83333,
9606.ENSP00000309092,124.0,0.52304,6.0,8.0,123.342,3.0,0.09091,57.66035,11.67769,1522.03756,8202.0,0.42857,
9606.ENSP00000257895,121.0,0.64826,5.0,6.0,125.475,1.0,0.07692,55.32101,11.58264,471.12355,1942.0,0.66667,
9606.ENSP00000427018,2.0,0.0,1.0,2.0,38.819,1.0,0.06667,40.55145,9.88843,467.47558,998.0,0.0,
9606.ENSP00000233242,8.0,0.30779,2.0,8.0,123.18,29.0,0.08333,65.02947,12.04132,8867.20485,39738.0,0.03571,
9606.ENSP00000420180,8.0,0.37893,4.0,4.0,69.387,1.0,0.07143,45.46621,10.33058,125.94143,398.0,0.66667,
9606.ENSP00000250699,3628802.0,0.89787,10.0,12.0,128.67,18.0,0.1,60.97937,11.99174,3953.2967,19318.0,0.68182,
9606.ENSP00000364700,3.0,0.30779,2.0,3.0,72.675,3.0,0.09091,47.57673,11.10744,1346.40402,4236.0,0.33333,
9606.ENSP00000252992,3.0,0.30779,2.0,3.0,64.643,2.0,0.07692,46.54002,10.54959,1747.97099,3282.0,0.33333,
9606.ENSP00000305974,276.0,0.5012,9.0,9.0,134.062,2.0,0.08333,62.21082,12.07438,468.78311,5000.0,0.58333,
9606.ENSP00000309096,241.0,0.66569,6.0,7.0,119.738,4.0,0.09091,53.2171,11.44628,1538.52253,5302.0,0.66667,
9606.ENSP00000270066,2.0,0.30779,2.0,2.0,33.24,1.0,0.07692,39.37369,9.72727,0.0,0.0,1.0,
9606.ENSP00000355991,2.0,0.30779,2.0,2.0,14.17,1.0,0.06667,30.94287,7.82231,0.0,0.0,1.0,
9606.ENSP00000282728,29.0,0.45378,5.0,8.0,111.232,32.0,0.1,60.12262,11.93802,6467.60982,17624.0,0.25,
9606.ENSP00000334379,6.0,0.46346,3.0,3.0,59.277,1.0,0.07143,40.25219,9.69835,0.0,0.0,1.0,
9606.ENSP00000355511,50.0,0.47549,6.0,6.0,68.661,1.0,0.07692,43.71213,10.19008,98.27537,1048.0,0.66667,
9606.ENSP00000265857,24.0,0.56839,4.0,4.0,111.293,1.0,0.08333,53.03106,11.45455,0.0,0.0,1.0,
9606.ENSP00000497691,26.0,0.56839,4.0,6.0,65.086,8.0,0.07692,53.40798,11.20248,3935.78422,17058.0,0.4,
9606.ENSP00000368066,3.0,0.0,1.0,3.0,84.357,7.0,0.1,52.0127,11.71488,1458.56847,3838.0,0.0,
9606.ENSP00000325326,3.0,0.30779,2.0,3.0,71.925,6.0,0.07692,51.57054,11.30992,3648.42051,9964.0,0.33333,
9606.ENSP00000497574,5.0,0.30779,2.0,5.0,114.616,8.0,0.08333,59.82551,11.92149,2470.58254,7818.0,0.1,
9606.ENSP00000362080,25.0,0.56839,4.0,5.0,56.608,2.0,0.07143,45.29516,10.36364,716.55159,1476.0,0.6,
9606.ENSP00000255380,25.0,0.56839,4.0,5.0,122.349,2.0,0.09091,56.58019,11.75207,1692.62951,8440.0,0.6,
9606.ENSP00000318486,7.0,0.46346,3.0,4.0,120.942,2.0,0.11111,53.13929,11.7438,308.77028,2098.0,0.5,
9606.ENSP00000233202,2.0,0.0,1.0,2.0,38.595,6.0,0.1,42.57659,10.6157,1684.50984,6148.0,0.0,
9606.ENSP00000361666,816.0,0.59388,11.0,11.0,134.695,2.0,0.08333,64.87987,12.21074,542.97825,5358.0,0.63636,
9606.ENSP00000384763,2.0,0.0,1.0,2.0,63.722,4.0,0.09091,47.56631,10.96694,232.9089,1452.0,0.0,
9606.ENSP00000369702,24.0,0.56839,4.0,4.0,53.941,1.0,0.07143,43.95231,10.28099,0.0,0.0,1.0,
9606.ENSP00000326424,25.0,0.56839,4.0,5.0,93.545,4.0,0.08333,52.93185,11.50826,710.34859,2458.0,0.6,
9606.ENSP00000221480,4.0,0.0,1.0,4.0,67.33,13.0,0.09091,45.71443,10.81818,3326.57698,17654.0,0.0,
9606.ENSP00000377696,3.0,0.0,1.0,3.0,92.295,4.0,0.08333,54.44297,11.75207,1194.12617,3290.0,0.0,
9606.ENSP00000308535,61.0,0.57059,6.0,7.0,130.893,13.0,0.1,59.72143,12.12397,3102.41948,8538.0,0.57143,
9606.ENSP00000361667,243.0,0.54881,7.0,8.0,122.176,12.0,0.08333,58.90606,11.82231,2670.15376,9620.0,0.53571,
9606.ENSP00000353582,3.0,0.30779,2.0,3.0,92.34,1.0,0.1,51.44008,11.55785,1531.96695,8616.0,0.33333,
9606.ENSP00000249910,3.0,0.30779,2.0,3.0,50.317,3.0,0.07692,43.00477,10.43802,461.7426,1208.0,0.33333,
9606.ENSP00000261007,3628834.0,0.58558,14.0,14.0,129.005,5.0,0.1,62.07579,11.89256,1888.09883,9706.0,0.57143,
9606.ENSP00000339850,54.0,0.43905,7.0,7.0,132.277,5.0,0.11111,60.44921,12.23554,1701.49643,10546.0,0.57143,
9606.ENSP00000264870,2.0,0.0,1.0,2.0,65.173,4.0,0.09091,48.52594,11.30579,1316.4196,4686.0,0.0,
9606.ENSP00000496496,27.0,0.45378,5.0,6.0,120.741,24.0,0.11111,56.93175,11.91736,3195.53393,14812.0,0.46667,
